epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
0,0.7792326807975769,0.09158916026353836,0.5988253355026245,1e-04,0.18795055150985718,0.3708252012729645,0.6976209282875061,0.07219311594963074,0.6756475567817688,0.002493890468031168,0.006334689445793629
1,0.8858415484428406,0.09904603660106659,0.4904746115207672,1e-04,0.4039641320705414,0.3227599859237671,0.8992598652839661,0.06835132837295532,0.6240689158439636,0.0006937963189557195,0.00012271999730728567
2,0.8998849391937256,0.11157965660095215,0.44109588861465454,1e-04,0.494124174118042,0.3960905969142914,0.9107844829559326,0.06842321902513504,0.567852258682251,0.0010388171067461371,4.3828571506310254e-05
3,0.9127890467643738,0.12805676460266113,0.40610310435295105,1e-04,0.574455201625824,0.4761711657047272,0.9139849543571472,0.06711806356906891,0.5108970999717712,0.004907975438982248,2.3375238015432842e-05
4,0.9216784834861755,0.14477691054344177,0.3806772530078888,1e-04,0.6231858730316162,0.5443158149719238,0.9132950305938721,0.06598725914955139,0.4544021189212799,0.005771842319518328,7.450857083313167e-05
5,0.9303592443466187,0.1619921177625656,0.35764333605766296,1e-04,0.6734862923622131,0.5910942554473877,0.9014812707901001,0.06798005849123001,0.42274510860443115,0.11653438210487366,0.022780630737543106
6,0.9389379620552063,0.17991061508655548,0.3351726531982422,1e-04,0.7272506952285767,0.6284419298171997,0.8635873198509216,0.08484899997711182,0.4351428747177124,0.21404410898685455,0.21966442465782166
7,0.9470203518867493,0.1972203403711319,0.31316444277763367,1e-04,0.7810722589492798,0.6609277129173279,0.8595799803733826,0.10157278180122375,0.4390086233615875,0.2527058720588684,0.32237666845321655
8,0.9511463046073914,0.2084800899028778,0.2990563213825226,1e-04,0.8063284754753113,0.6817458868026733,0.8853583335876465,0.10273593664169312,0.38738131523132324,0.3153039216995239,0.2835153341293335
9,0.9475144147872925,0.21003098785877228,0.294918030500412,1e-04,0.779387354850769,0.671069324016571,0.8276528716087341,0.1320042759180069,0.5111882090568542,0.2634468674659729,0.553581178188324
10,0.9553079009056091,0.22527600824832916,0.2770228087902069,1e-04,0.8233832120895386,0.7147113680839539,0.8636019229888916,0.1333245187997818,0.4252176582813263,0.31205955147743225,0.48029688000679016
11,0.9588133692741394,0.23793081939220428,0.26467329263687134,1e-04,0.8424611687660217,0.7356079816818237,0.885108470916748,0.13497403264045715,0.3800625503063202,0.3671387732028961,0.45554688572883606
12,0.9610589146614075,0.24839219450950623,0.2544645369052887,1e-04,0.8526153564453125,0.7510549426078796,0.8896424174308777,0.1417045146226883,0.3744412660598755,0.38909465074539185,0.4846753478050232
13,0.9625260829925537,0.2572701573371887,0.24589455127716064,1e-04,0.8592082858085632,0.7612353563308716,0.8648841977119446,0.16028733551502228,0.4450571835041046,0.34286975860595703,0.6092039942741394
14,0.9639654755592346,0.2663220465183258,0.23717139661312103,1e-04,0.8651050925254822,0.7716039419174194,0.8246363401412964,0.16407667100429535,0.6036232113838196,0.28906872868537903,0.7012133002281189
15,0.9642649292945862,0.2735622525215149,0.2306261509656906,1e-04,0.8609744906425476,0.7808207273483276,0.8453105092048645,0.16910435259342194,0.5318024158477783,0.3167403042316437,0.6773471832275391
16,0.9670929908752441,0.2786298096179962,0.2239358127117157,1e-05,0.8842149972915649,0.7859594821929932,0.9323320388793945,0.1661311537027359,0.2818654179573059,0.6494381427764893,0.4795985221862793
17,0.9705814123153687,0.288774311542511,0.21690669655799866,1e-05,0.8950955867767334,0.8161817789077759,0.9349043965339661,0.16395710408687592,0.2781035304069519,0.68366938829422,0.4648604393005371
18,0.9721332788467407,0.29334211349487305,0.2138856202363968,1e-05,0.9004020094871521,0.8285138607025146,0.9359946250915527,0.16304123401641846,0.27684542536735535,0.6990106701850891,0.46036654710769653
19,0.9730678796768188,0.29659950733184814,0.2117946594953537,1e-05,0.9036481976509094,0.8358451724052429,0.9362821578979492,0.16351526975631714,0.27615103125572205,0.7019634246826172,0.46131032705307007
